year,month,day,hour,sumCount
2018,9,18,21,1814505
2018,9,3,19,1725845
2019,9,3,14,1525095
2019,9,4,6,1403573
2019,9,2,11,1520481
2019,9,3,10,1472817
2019,9,3,13,1606870
2019,9,4,2,1306203
2018,9,20,13,2170540
2019,9,23,22,1725031
2019,9,2,20,1684104
2019,9,2,22,1467386
2019,9,4,4,1250537
2019,9,2,10,1417954
2019,9,2,14,1612363
2019,9,23,21,1815527
2019,9,4,3,1249715
2019,9,4,0,1360353
2019,9,3,11,1515342
2019,9,2,18,1645311
2019,9,4,5,1309911
2018,9,20,14,2173590
2019,9,2,21,1556424
2018,9,20,15,1894611
2019,9,4,7,1423535
2019,9,23,19,1819291
2019,9,4,1,1254855
2019,9,2,13,1604468
2019,9,3,12,1601813
2019,9,2,19,1721255
2018,9,20,17,1899342
2018,9,20,12,2114308
2019,9,2,16,1678006
2019,9,23,20,1878612
2019,9,3,15,1572565
2019,9,2,12,1578875
2019,9,2,15,1648709
2018,9,20,16,1913147
2019,9,3,9,1452861
2019,9,2,17,1624233
2019,9,2,23,1376755
2019,9,23,23,1778763
2019,9,17,23,1425291
2019,9,14,20,1595193
2018,9,6,3,1421607
2018,9,18,10,1810698
2018,9,6,2,1461081
2018,9,24,6,1751739
2018,9,18,15,1970470
2019,9,14,16,1504100
2019,9,14,19,1598862
2019,9,14,14,1525552
2019,9,17,20,1810715
2019,9,21,10,1558854
2018,9,24,1,1629435
2018,9,24,5,1705239
2018,9,24,4,1710964
2018,9,24,3,1619964
2019,9,21,9,1511246
2018,9,6,1,1452414
2019,9,17,18,1706542
2018,9,18,11,1738779
2018,9,6,7,1816297
2019,9,14,17,1486647
2018,9,18,12,1826222
2019,9,21,7,1497851
2018,9,6,5,1507565
2019,9,21,11,1598714
2018,9,24,2,1754631
2018,9,18,14,1966258
2019,9,14,15,1511042
2019,9,17,22,1562120
2019,9,17,19,1813257
2019,9,21,6,1487724
2019,9,14,18,1541779
2018,9,6,4,1404467
2019,9,21,8,1590396
2019,9,17,21,1662598
2018,9,18,13,1883034
2018,9,18,16,2037243
2018,9,6,6,1668873
2018,9,30,16,2011402
2019,9,20,14,1624112
2019,9,14,9,1400594
2018,9,11,6,1559931
2018,9,7,7,1884674
2018,9,30,15,2040149
2019,9,14,13,1506593
2019,9,20,15,1572761
2018,9,8,17,1940363
2019,9,14,7,1383881
2018,9,8,16,1920273
2018,9,11,5,1497154
2018,9,30,17,2078105
2018,9,8,18,1958070
2018,9,7,5,1613642
2018,9,7,4,1461984
2019,9,15,7,1581989
2019,9,15,9,1614108
2019,9,14,8,1378338
2018,9,7,6,1718737
2019,9,20,11,1668966
