_c0,_c1
1540242000,1841646
1540245600,1735506
1540249200,1683808
1540252800,1745838
1540256400,1841981
1540260000,1836771
1540263600,1711665
1540267200,1713437
1540270800,1881780
1540274400,1985591
1540278000,2180234
1540281600,2223880
1540285200,2169835
1540288800,2214681
1540292400,1949060
1540296000,2122429
1540299600,2150251
1540303200,2151895
1540306800,2186355
1540310400,2094336
1540314000,1995742
1540317600,1982308
1540321200,1910522
1540324800,1986750
1540328400,1928986
1540332000,1739256
1540335600,1809164
1540339200,1701562
1540342800,1656168
1540346400,1535941
1540350000,1474542
1540353600,1563119
1540357200,1616967
1540360800,1642906
1540364400,1684356
1540368000,1709732
1540371600,1773149
1540375200,1884761
1540378800,2013373
1540382400,2066500
1540386000,2017287
1540389600,2057716
1540393200,2046277
1540396800,1999771
1540400400,2119832
1540404000,2084187
1540407600,2120193
1540411200,2043874
1540414800,1837000
1540418400,1685025
1540422000,1545438
1540425600,1549366
1540429200,1536531
1540432800,1444528
1540436400,1466826
1540440000,1647869
1540443600,1899941
1540447200,1970742
1540450800,1802276
1540454400,1813983
1540458000,1809380
1540461600,1945243
1540465200,1924389
1540468800,1971875
1540472400,1930950
1540476000,1790237
1540479600,1788093
1540483200,1772192
1540486800,1781464
1540490400,1816363
1540494000,1844788
1540497600,2088872
1540501200,1903438
1540504800,1742497
1540508400,1697237
1540512000,1619117
1540515600,1563990
1540519200,1512602
1540522800,1468171
1540526400,1472793
1540530000,1525573
1540533600,1623395
1540537200,1648926
1540540800,1737868
1540544400,1788749
1540548000,1754382
1540551600,1718487
1540555200,1783380
1540558800,1933745
1540562400,1974145
1540566000,1983040
1540569600,1914896
1540573200,1786204
1540576800,1822210
1540580400,1773181
1540584000,1772410
1540587600,1681707
1540591200,1519819
1540594800,1665281
1540598400,1497335
1540602000,1475126
1540605600,1512516
1540609200,1422778
1540612800,1426567
1540616400,1486604
1540620000,1520974
1540623600,1657269
1540627200,1719125
1540630800,1735588
1540634400,1753281
1540638000,1696902
1540641600,1762207
1540645200,1740279
1540648800,1775908
1540652400,1726245
1540656000,1681293
1540659600,1764582
1540663200,1790046
1540666800,1861602
1540670400,1903574
1540674000,1802477
1540677600,1570290
1540681200,1498632
1540684800,1398318
1540688400,1359831
1540692000,1345849
1540695600,1379589
1540699200,1371828
1540702800,1332122
1540706400,1423196
1540710000,1493738
1540713600,1583103
1540717200,1627839
1540720800,1676378
1540724400,1607956
1540728000,1610412
1540731600,1696184
1540735200,1699355
1540738800,1792789
1540742400,1847193
1540746000,1788925
1540749600,1778603
1540753200,1767171
1540756800,1749744
1540760400,1653994
1540764000,1484934
1540767600,1459201
1540771200,1405261
1540774800,1355791
1540778400,1377379
1540782000,1410704
1540785600,1336904
1540789200,1397202
1540792800,1417122
1540796400,1503026
1540800000,1562764
1540803600,1655262
1540807200,1697379
1540810800,1602700
1540814400,1710958
1540818000,1716241
1540821600,1809188
1540825200,1810889
1540828800,1880855
1540832400,1977951
1540836000,1943110
1540839600,1949837
1540843200,1988158
1540846800,1870861
1540850400,1697061
1540854000,2017503
1540857600,1701557
1540861200,1597479
1540864800,1512682
1540868400,1480538
1540872000,1506551
1540875600,1423367
1540879200,1449237
1540882800,1493245
1540886400,1568990
1540890000,1741247
1540893600,1834748
1540897200,1698704
1540900800,1737325
1540904400,1801715
1540908000,1891487
1540911600,1842628
1540915200,1851425
1540918800,1868321
1540922400,1888631
1540926000,1855877
1540929600,1901764
1540933200,1866690
1540936800,1671195
1540940400,1700174
1540944000,1698888
1540947600,1804521
1540951200,1750663
1540954800,1777555
1540958400,1767477
1540962000,1713434
1540965600,1724054
1540969200,1782812
1540972800,1802168
1540976400,1856692
1540980000,1943378
1540983600,1820246
1540987200,1847094
1540990800,2011976
1540994400,2015777
1540998000,1918613
1541001600,1876496
1541005200,1815966
1541008800,1794857
1541012400,1830833
1541016000,1781829
1541019600,1758887
1541023200,1722383
1541026800,1688026
1541030400,1703001
1541034000,1671366
1541037600,1621443
1541041200,1528240
1541044800,1495994
1541048400,1436356
1541052000,1552632
1541055600,1619398
1541059200,1547221
1541062800,1714396
1541066400,1655990
1541070000,1588842
1541073600,1674864
1541077200,1793103
1541080800,1921745
1541084400,2063049
1541088000,1983740
1541091600,1919758
1541095200,1992028
1541098800,1979087
1541102400,2000300
1541106000,1813490
1541109600,1675981
1541113200,1724844
1541116800,1641821
1541120400,1660171
1541124000,1763507
1541127600,1777987
1541131200,1671924
1541134800,1624222
1541138400,1636911
1541142000,1673672
1541145600,1782909
1541149200,1839954
1541152800,1871885
1541156400,1780686
1541160000,1760910
1541163600,1861218
1541167200,1989050
1541170800,1942502
1541174400,1908065
1541178000,1864567
1541181600,1813636
1541185200,1852487
1541188800,1863408
1541192400,1808717
1541196000,1729017
1541199600,1649679
1541203200,1673352
1541206800,1658409
1541210400,1589689
1541214000,1802424
1541217600,1642469
1541221200,1574761
1541224800,1555580
1541228400,1572315
1541232000,1715930
1541235600,1806741
1541239200,1976026
1541242800,1831877
1541246400,1836189
1541250000,1871691
1541253600,1955247
1541257200,1965576
1541260800,1935980
1541264400,1940873
1541268000,1955437
1541271600,1979881
1541275200,1995068
1541278800,1980245
1541282400,1852191
1541286000,1808101
1541289600,1709800
1541293200,1633263
1541296800,1640166
1541300400,1631744
1541304000,1655877
1541307600,1615733
1541311200,1637662
1541314800,1755965
1541318400,1829742
1541322000,1879436
1541325600,1966050
1541329200,1982411
1541332800,1877366
1541336400,1963603
